"You will be redirected to Adyen website when you place an order.", "Você será redirecionado para o site da Adyen, quando efetuar a compra."
"%s ( Qty: %s ) (Price: %s %s ) <br />","%s ( Qtd: %s ) (Preço: %s %s ) <br />"
"Adyen %s <br /> authResult: %s <br /> pspReference: %s"
"Adyen %s <br /> eventCode: %s <br /> pspReference: %s <br /> success: %s"
"Adyen response(s): %s <br /> pspReference: %s", "Resposta(s) da Adyen: %s <br /> pspReference: %s"
"Authorize Only","Somente Autorizar"
"Authorize and Capture","Autorizar e Capturar"
"Can not connect payment service. Please try again later.","Não foi possível conectar ao serviço de pagamento. Tente novamente."
"Capture Mode set to Manual","Modo de Captura ajustado para Manual"
"Customer was redirected to Adyen.", "Cliente redirecionado para a Adyen"
"Order can not Hold","Não é possível continuar a compra"
"Order can not be canceled", "A compra não pode ser cancelada"
"Order rows: <br />","Detalhes da compra: <br />"
"Shipment cost: %s %s <br />","Custo de envio: %s %s <br />"
"System error, please try again later","Erro no sistema. Por favor, tente novamente mais tarde"
"System error, please try again later: %s", "Erro no sistema. Por favor, tente novamente mais tarde: %s"
"The payment is REFUSED by Adyen.", "O Pagamento foi RECUSADO."
"You will be redirected to Adyen in a few seconds.", "Você será redirecionado para a Adyen em alguns segundos."
"Your payment failed, Please try again later","Sua tentativa de pagamento falhou. Por favor, tente novamente."
"--Please Select--","--Por favor selecione--"
"Account Number","Número da conta"
"Account holder name","Nome do titular da conta"
"Account holder: %s","Titular da conta: %s"
"Account number: xxx%s","Número da conta: xxx%s"
"Bank Location","Endereço do Banco"
"Bank Location (City)","Localização do Banco (Cidade)"
"Bank Location ID","Número da Agência"
"Bank Name","Nome do Banco"
"Bank code: %s", "Código do Banco: %s"
"Bank name: %s","Nome do banco: %s"
"Card Verification Number","Código de Verificação do Cartão"
"Credit Card Number","Número do Cartão"
"Credit Card Number: xxxx-%s","Número do Cartão: xxxx-%s"
"Credit Card Type", "Tipo de Cartão"
"Credit Card Type: %s", "Tipo de Cartão: %s"
"Expiration Date","Data de Vencimento"
"Expiration Date: %s/%s","Data de Vencimento: %s/%s"
"Name on Card","Nome do titular (como está gravado no Cartão)"
"Name on the Card: %s","Nome do titular (como está gravado no Cartão): %s"
"Payment Method: %s","Método de Pagamento: %s"
"Submitting payment information...","Enviando informação de pagamento..."
"What is this?","O que é isso?"
"Order email sent to shopper.","O email de compra foi enviado para o cliente. "
"The payment is PENDING by Adyen.","O pagamento está PENDENTE pela Adyen."
"The payment is AUTHORIZED by Adyen.","O pagamento foi AUTORIZADO pela Adyen."
"There has an error occurred with your Adyen payment.","Houve um erro com seu pagamento Adyen."
"There was an error with your payment.","Houve um erro com seu pagamento."
"You will be redirected to Adyen website when you place an order.","Você será redirecionado ao site da Ayen quando realizar a compra."
"Your payment is cancelled.","Seu pagamento foi cancelado."
"Your payment is CANCELLED","Seu pagamento foi CANCELADO."
"Your payment is pending.","Seu pagamento encontra-se pendente."
"Your payment is refused.","Seu pagamento foi recusado."
"Your payment is authorized.","Seu pagamento foi autorizado."
"Remember these details","Armazenar estes dados"
"Choose Your Bank","Escolha seu banco"
"You chose an invalid bank","Você escolheu um banco inválido"
You have cancelled the order. Please try again", "Você cancelou a compra. Por favor, tente novamente."